Date,Open,High,Low,Close,Adj Close,Volume
2021-01-25,0.230000,0.267500,0.225000,0.255000,0.255000,45337694
2021-01-27,0.400000,0.460000,0.370000,0.395000,0.395000,69173134
2021-01-28,0.350000,0.380000,0.310000,0.360000,0.360000,32243643
2021-01-29,0.380000,0.380000,0.265000,0.295000,0.295000,51523479
2021-02-01,0.275000,0.305000,0.240000,0.280000,0.280000,41184742
2021-02-02,0.290000,0.295000,0.250000,0.275000,0.275000,24752315
2021-02-03,0.265000,0.265000,0.230000,0.235000,0.235000,27802438
2021-02-04,0.250000,0.285000,0.240000,0.275000,0.275000,32891437
2021-02-05,0.320000,0.320000,0.275000,0.300000,0.300000,31166466
2021-02-08,0.320000,0.370000,0.295000,0.370000,0.370000,28454544
2021-02-09,0.405000,0.410000,0.350000,0.385000,0.385000,35015166
2021-02-10,0.365000,0.380000,0.340000,0.350000,0.350000,20981535
2021-02-11,0.335000,0.335000,0.310000,0.315000,0.315000,20740688
2021-02-12,0.310000,0.325000,0.305000,0.310000,0.310000,16982649
2021-02-15,0.315000,0.340000,0.315000,0.340000,0.340000,14732256
2021-02-16,0.350000,0.350000,0.315000,0.325000,0.325000,12713964
2021-02-17,0.335000,0.350000,0.315000,0.340000,0.340000,13396620
2021-02-18,0.325000,0.335000,0.310000,0.325000,0.325000,9674381
2021-02-19,0.340000,0.360000,0.330000,0.355000,0.355000,18177021
2021-02-22,0.370000,0.425000,0.370000,0.415000,0.415000,26487223
2021-02-23,0.405000,0.415000,0.385000,0.405000,0.405000,17778684
2021-02-24,0.385000,0.390000,0.370000,0.370000,0.370000,12704702
2021-02-25,0.375000,0.395000,0.365000,0.390000,0.390000,9228661
2021-02-26,0.370000,0.385000,0.365000,0.385000,0.385000,6226463
2021-03-01,0.385000,0.385000,0.370000,0.385000,0.385000,4606624
2021-03-02,0.450000,0.475000,0.395000,0.405000,0.405000,27150923
2021-03-03,0.385000,0.395000,0.375000,0.380000,0.380000,10426194
2021-03-04,0.380000,0.385000,0.340000,0.345000,0.345000,13177040
2021-03-05,0.325000,0.355000,0.305000,0.350000,0.350000,14991992
2021-03-08,0.355000,0.365000,0.320000,0.325000,0.325000,9869785
2021-03-09,0.325000,0.330000,0.300000,0.310000,0.310000,10359997
2021-03-10,0.310000,0.325000,0.310000,0.315000,0.315000,5854962
2021-03-11,0.320000,0.335000,0.310000,0.325000,0.325000,5132876
2021-03-12,0.345000,0.360000,0.340000,0.350000,0.350000,9814848
2021-03-15,0.355000,0.360000,0.340000,0.350000,0.350000,4151845
2021-03-16,0.355000,0.355000,0.330000,0.350000,0.350000,3685254
2021-03-17,0.355000,0.380000,0.345000,0.355000,0.355000,12606851
2021-03-18,0.350000,0.350000,0.335000,0.335000,0.335000,3483757
2021-03-19,0.330000,0.345000,0.330000,0.335000,0.335000,4052451
2021-03-22,0.335000,0.335000,0.320000,0.325000,0.325000,3695055
2021-03-23,0.330000,0.345000,0.325000,0.330000,0.330000,4269433
2021-03-24,0.335000,0.340000,0.320000,0.325000,0.325000,4225591
2021-03-25,0.325000,0.330000,0.315000,0.315000,0.315000,3301821
2021-03-26,0.310000,0.320000,0.305000,0.320000,0.320000,4881061
2021-03-29,0.320000,0.325000,0.310000,0.310000,0.310000,2171159
2021-03-30,0.315000,0.315000,0.305000,0.310000,0.310000,2837681
2021-03-31,0.325000,0.335000,0.315000,0.335000,0.335000,5581939
2021-04-01,0.335000,0.335000,0.325000,0.330000,0.330000,2244637
2021-04-06,0.340000,0.345000,0.335000,0.335000,0.335000,2184316
2021-04-07,0.340000,0.345000,0.325000,0.325000,0.325000,3581924
2021-04-08,0.325000,0.330000,0.320000,0.320000,0.320000,2522919
2021-04-09,0.325000,0.325000,0.315000,0.315000,0.315000,1623628
2021-04-12,0.330000,0.330000,0.320000,0.320000,0.320000,2046853
2021-04-13,0.320000,0.325000,0.315000,0.315000,0.315000,2268515
2021-04-14,0.310000,0.330000,0.305000,0.330000,0.330000,6790645
2021-04-15,0.320000,0.325000,0.315000,0.325000,0.325000,2850873
2021-04-16,0.325000,0.335000,0.315000,0.320000,0.320000,3108980
2021-04-19,0.330000,0.335000,0.315000,0.325000,0.325000,3628922
2021-04-20,0.320000,0.325000,0.315000,0.320000,0.320000,1814716
2021-04-21,0.315000,0.320000,0.310000,0.310000,0.310000,2247008
2021-04-22,0.310000,0.320000,0.310000,0.310000,0.310000,2098390
2021-04-23,0.310000,0.315000,0.310000,0.310000,0.310000,1722223
2021-04-26,0.310000,0.315000,0.307500,0.315000,0.315000,2206225
2021-04-27,0.310000,0.315000,0.307500,0.310000,0.310000,2396929
2021-04-28,0.310000,0.315000,0.305000,0.305000,0.305000,1891383
2021-04-29,0.310000,0.330000,0.305000,0.330000,0.330000,4451976
2021-04-30,0.320000,0.320000,0.310000,0.310000,0.310000,3111051
2021-05-03,0.315000,0.320000,0.305000,0.310000,0.310000,2413173
2021-05-04,0.315000,0.315000,0.305000,0.305000,0.305000,1457203
2021-05-05,0.310000,0.310000,0.305000,0.305000,0.305000,882710
2021-05-06,0.310000,0.310000,0.270000,0.270000,0.270000,7663958
2021-05-07,0.265000,0.270000,0.255000,0.265000,0.265000,4980053
2021-05-10,0.265000,0.265000,0.255000,0.260000,0.260000,3693209
2021-05-11,0.255000,0.255000,0.230000,0.230000,0.230000,8400586
2021-05-12,0.230000,0.230000,0.220000,0.225000,0.225000,4639460
2021-05-13,0.220000,0.220000,0.205000,0.210000,0.210000,9072931
2021-05-14,0.210000,0.265000,0.210000,0.245000,0.245000,8890423
2021-05-17,0.240000,0.245000,0.230000,0.235000,0.235000,4636522
2021-05-18,0.235000,0.245000,0.225000,0.230000,0.230000,3235164
2021-05-19,0.245000,0.250000,0.230000,0.230000,0.230000,4456995
2021-05-20,0.235000,0.240000,0.225000,0.230000,0.230000,3374685
2021-05-21,0.240000,0.275000,0.240000,0.270000,0.270000,10338991
2021-05-24,0.275000,0.275000,0.250000,0.250000,0.250000,6164073
2021-05-25,0.250000,0.262500,0.250000,0.250000,0.250000,3039183
2021-05-26,0.255000,0.275000,0.255000,0.260000,0.260000,5265082
2021-05-27,0.265000,0.265000,0.255000,0.260000,0.260000,1171117
2021-05-28,0.265000,0.275000,0.260000,0.260000,0.260000,7695320
2021-05-31,0.270000,0.270000,0.250000,0.250000,0.250000,3402244
2021-06-01,0.255000,0.260000,0.255000,0.260000,0.260000,2725450
2021-06-02,0.260000,0.270000,0.257500,0.260000,0.260000,2629514
2021-06-03,0.265000,0.285000,0.255000,0.280000,0.280000,4520117
2021-06-04,0.285000,0.285000,0.265000,0.270000,0.270000,4007528
2021-06-07,0.275000,0.275000,0.262500,0.270000,0.270000,2538725
2021-06-08,0.270000,0.275000,0.257500,0.260000,0.260000,3206697
2021-06-09,0.260000,0.265000,0.255000,0.265000,0.265000,2881765
2021-06-10,0.265000,0.275000,0.262500,0.270000,0.270000,2365224
2021-06-11,0.270000,0.285000,0.270000,0.270000,0.270000,2825848
2021-06-15,0.280000,0.280000,0.265000,0.265000,0.265000,2506876
2021-06-16,0.265000,0.280000,0.265000,0.270000,0.270000,4426586
2021-06-17,0.290000,0.315000,0.287500,0.305000,0.305000,13316711
2021-06-18,0.310000,0.312500,0.290000,0.305000,0.305000,6537228
2021-06-21,0.325000,0.350000,0.325000,0.350000,0.350000,13921463
2021-06-22,0.365000,0.390000,0.365000,0.375000,0.375000,16743711
2021-06-23,0.390000,0.395000,0.350000,0.355000,0.355000,10274664
2021-06-24,0.350000,0.367500,0.330000,0.360000,0.360000,7459748
2021-06-25,0.340000,0.355000,0.340000,0.345000,0.345000,3504210
2021-06-28,0.350000,0.352500,0.315000,0.325000,0.325000,6750827
2021-06-29,0.325000,0.335000,0.320000,0.320000,0.320000,3834933
2021-06-30,0.325000,0.340000,0.320000,0.335000,0.335000,2798756
2021-07-01,0.330000,0.345000,0.325000,0.345000,0.345000,2120098
2021-07-02,0.335000,0.350000,0.335000,0.345000,0.345000,2467403
2021-07-05,0.355000,0.377500,0.355000,0.365000,0.365000,6563067
2021-07-06,0.375000,0.380000,0.365000,0.370000,0.370000,4403100
2021-07-07,0.370000,0.390000,0.365000,0.380000,0.380000,6546429
2021-07-08,0.385000,0.390000,0.365000,0.375000,0.375000,3214128
2021-07-09,0.375000,0.375000,0.360000,0.365000,0.365000,3377109
2021-07-12,0.370000,0.385000,0.367500,0.385000,0.385000,3690186
2021-07-13,0.385000,0.405000,0.385000,0.390000,0.390000,8807683
2021-07-14,0.390000,0.395000,0.375000,0.380000,0.380000,2468342
2021-07-15,0.375000,0.375000,0.365000,0.365000,0.365000,2801936
2021-07-16,0.375000,0.390000,0.375000,0.385000,0.385000,3131877
2021-07-19,0.375000,0.385000,0.365000,0.385000,0.385000,3937128
2021-07-20,0.370000,0.390000,0.365000,0.390000,0.390000,5744654
2021-07-21,0.395000,0.435000,0.395000,0.415000,0.415000,13419472
2021-07-22,0.425000,0.450000,0.410000,0.450000,0.450000,10144554
2021-07-23,0.435000,0.440000,0.405000,0.410000,0.410000,13644774
2021-07-26,0.420000,0.440000,0.415000,0.415000,0.415000,8817802
2021-07-27,0.425000,0.430000,0.400000,0.400000,0.400000,4727139
2021-07-28,0.405000,0.420000,0.390000,0.405000,0.405000,5549094
2021-07-29,0.410000,0.440000,0.405000,0.430000,0.430000,6099589
2021-07-30,0.440000,0.480000,0.435000,0.465000,0.465000,15664939
2021-08-02,0.475000,0.555000,0.475000,0.530000,0.530000,20078691
2021-08-03,0.505000,0.560000,0.490000,0.545000,0.545000,14478633
2021-08-04,0.560000,0.605000,0.552500,0.600000,0.600000,15219220
2021-08-05,0.625000,0.665000,0.545000,0.575000,0.575000,25470083
2021-08-06,0.575000,0.680000,0.575000,0.660000,0.660000,22412373
2021-08-09,0.660000,0.665000,0.600000,0.605000,0.605000,21574873
2021-08-10,0.590000,0.620000,0.565000,0.575000,0.575000,16504612
