Exchange Date,Close,Net,%Chg,Open,Low,High,Volume,Turnover - AUD,Flow,,,,,,
30-Dec-2022,77.200,+0.430,+0.560%,76.950,76.500,77.890,"512,248","39,525,024.000","1,569,556,916.000",,,,,,
29-Dec-2022,76.770,-1.500,-1.916%,77.000,75.930,77.600,"700,287","53,581,882.000","1,530,031,892.000",,,,,,
28-Dec-2022,78.270,-1.610,-2.016%,78.330,77.210,78.700,"717,713","55,906,791.000","1,583,613,774.000",,,,,,
23-Dec-2022,79.880,-0.140,-0.175%,79.020,77.210,80.260,"439,305","34,846,125.000","1,639,520,565.000",,,,,,
22-Dec-2022,80.020,-0.680,-0.843%,81.910,79.990,82.290,"871,760","70,382,264.000","1,674,366,690.000",,,,,,
21-Dec-2022,80.700,+1.480,+1.868%,80.320,79.990,81.240,"805,351","64,888,549.000","1,744,748,954.000",,,,,,
20-Dec-2022,79.220,-2.500,-3.059%,80.910,79.210,81.475,"916,492","73,206,591.000","1,679,860,405.000",,,,,,
19-Dec-2022,81.720,+0.500,+0.616%,81.000,80.230,82.790,"491,341","40,040,234.000","1,753,066,996.000",,,,,,
16-Dec-2022,81.220,-0.780,-0.951%,80.600,79.290,83.270,"1,503,332","121,843,337.000","1,713,026,762.000",,,,,,
15-Dec-2022,82.000,-4.010,-4.662%,85.000,81.040,85.000,"1,476,591","121,711,693.000","1,834,870,099.000",,,,,,
14-Dec-2022,86.010,+1.030,+1.212%,85.390,84.550,86.130,"885,396","75,786,272.000","1,956,581,792.000",,,,,,
13-Dec-2022,84.980,-3.320,-3.760%,88.340,84.400,88.740,"851,975","73,328,912.000","1,880,795,520.000",,,,,,
12-Dec-2022,88.300,-2.200,-2.431%,88.330,86.900,88.780,"772,981","68,045,755.000","1,954,124,432.000",,,,,,
09-Dec-2022,90.500,+2.720,+3.099%,89.300,88.020,90.500,"629,261","56,355,956.000","2,022,170,187.000",,,,,,
08-Dec-2022,87.780,-2.280,-2.532%,88.200,86.970,89.340,"1,244,310","109,519,614.000","1,965,814,231.000",,,,,,
07-Dec-2022,90.060,+0.660,+0.738%,90.000,89.580,91.320,"1,277,119","115,288,652.000","2,075,333,845.000",,,,,,
06-Dec-2022,89.400,-1.240,-1.368%,88.670,87.800,89.500,"1,026,311","91,145,410.000","1,960,045,193.000",,,,,,
05-Dec-2022,90.640,+0.810,+0.902%,90.620,90.360,92.440,"864,938","78,704,110.000","2,051,190,603.000",,,,,,
02-Dec-2022,89.830,+0.600,+0.672%,89.200,88.810,91.100,"987,362","88,641,972.000","1,972,486,493.000",,,,,,
01-Dec-2022,89.230,+1.810,+2.070%,88.950,87.080,89.980,"863,776","76,677,046.000","1,883,844,521.000",,,,,,
30-Nov-2022,87.420,+3.650,+4.357%,82.500,82.500,88.720,"2,118,824","184,832,871.000","1,807,167,475.000",,,,,,
29-Nov-2022,83.770,+1.930,+2.358%,81.380,81.140,84.320,"686,961","57,171,890.000","1,622,334,604.000",,,,,,
28-Nov-2022,81.840,-0.490,-0.595%,81.600,79.060,82.000,"889,456","72,058,219.000","1,565,162,714.000",,,,,,
25-Nov-2022,82.330,-3.710,-4.312%,85.520,81.220,85.940,"1,207,709","99,722,832.000","1,637,220,933.000",,,,,,
24-Nov-2022,86.040,-0.870,-1.001%,87.000,85.500,87.500,"642,452","55,560,289.000","1,736,943,765.000",,,,,,
23-Nov-2022,86.910,+1.580,+1.852%,87.000,86.200,88.140,"956,191","83,148,966.000","1,792,504,054.000",,,,,,
22-Nov-2022,85.330,+2.350,+2.832%,84.240,83.530,86.610,"647,941","55,224,537.000","1,709,355,088.000",,,,,,
21-Nov-2022,82.980,-0.190,-0.228%,83.700,82.340,85.030,"793,016","66,120,425.000","1,654,130,551.000",,,,,,
18-Nov-2022,83.170,+0.220,+0.265%,82.950,80.000,84.020,"1,398,839","113,341,099.000","1,720,250,976.000",,,,,,
17-Nov-2022,82.950,+0.200,+0.242%,82.980,82.910,85.320,"868,162","72,558,345.000","1,606,909,877.000",,,,,,
16-Nov-2022,82.750,+2.510,+3.128%,80.300,80.300,83.090,"923,032","75,972,473.000","1,534,351,532.000",,,,,,
15-Nov-2022,80.240,-4.080,-4.839%,83.010,77.710,83.870,"1,542,451","122,793,173.000","1,458,379,059.000",,,,,,
14-Nov-2022,84.320,+2.540,+3.106%,83.090,83.090,86.350,"1,063,237","90,225,083.000","1,581,172,232.000",,,,,,
11-Nov-2022,81.780,-0.050,-0.061%,84.410,81.270,85.560,"1,483,981","122,008,686.000","1,490,947,149.000",,,,,,
10-Nov-2022,81.830,-0.870,-1.052%,80.210,79.500,82.940,"893,120","73,202,867.000","1,612,955,835.000",,,,,,
09-Nov-2022,82.700,+3.590,+4.538%,80.090,80.090,83.070,"961,297","79,014,909.000","1,686,158,702.000",,,,,,
08-Nov-2022,79.110,+3.730,+4.948%,76.800,76.220,79.190,"933,368","73,212,013.000","1,607,143,793.000",,,,,,
07-Nov-2022,75.380,+1.860,+2.530%,76.500,74.510,76.800,"791,465","59,795,792.000","1,533,931,780.000",,,,,,
04-Nov-2022,73.520,+3.310,+4.714%,70.000,70.000,74.620,"894,742","65,518,822.000","1,474,135,988.000",,,,,,
03-Nov-2022,70.210,-2.260,-3.119%,70.420,69.510,71.230,"1,039,886","73,185,270.000","1,408,617,166.000",,,,,,
02-Nov-2022,72.470,-1.240,-1.682%,74.410,71.500,74.800,"657,695","48,186,857.000","1,481,802,436.000",,,,,,
01-Nov-2022,73.710,+0.580,+0.793%,72.910,71.630,73.900,"794,356","58,106,695.000","1,529,989,293.000",,,,,,
31-Oct-2022,73.130,+1.480,+2.066%,72.580,72.030,73.690,"1,810,343","132,239,095.000","1,471,882,598.000",,,,,,
28-Oct-2022,71.650,-4.930,-6.438%,75.880,71.320,77.030,"1,270,836","93,051,405.000","1,339,643,503.000",,,,,,
27-Oct-2022,76.580,-0.320,-0.416%,78.500,76.580,80.000,"1,715,314","134,108,568.000","1,432,694,908.000",,,,,,
26-Oct-2022,76.900,+2.150,+2.876%,75.690,75.480,77.980,"1,713,471","131,962,241.000","1,566,803,476.000",,,,,,
25-Oct-2022,74.750,-1.330,-1.748%,76.690,73.130,78.140,"1,125,572","84,671,804.000","1,434,841,235.000",,,,,,
24-Oct-2022,76.080,+1.980,+2.672%,76.700,74.970,78.110,"1,454,915","111,300,207.000","1,519,513,039.000",,,,,,
21-Oct-2022,74.100,+2.210,+3.074%,71.880,71.200,74.490,"1,211,692","85,697,677.000","1,408,212,832.000",,,,,,
20-Oct-2022,71.890,-0.400,-0.553%,71.770,71.160,73.100,"1,667,685","120,646,578.000","1,322,515,155.000",,,,,,
19-Oct-2022,72.290,+2.800,+4.029%,69.800,69.380,72.400,"784,719","56,177,305.000","1,443,161,733.000",,,,,,
18-Oct-2022,69.490,+0.570,+0.827%,70.360,67.740,70.680,"912,222","63,102,026.000","1,386,984,428.000",,,,,,
17-Oct-2022,68.920,-2.030,-2.861%,69.490,68.220,69.920,"763,409","52,479,007.000","1,323,882,402.000",,,,,,
14-Oct-2022,70.950,+1.850,+2.677%,70.510,70.020,71.130,"1,085,226","76,643,515.000","1,376,361,409.000",,,,,,
13-Oct-2022,69.100,-1.020,-1.455%,69.100,68.340,70.430,"927,819","64,439,284.000","1,299,717,894.000",,,,,,
12-Oct-2022,70.120,-2.660,-3.655%,72.370,69.620,72.700,"869,665","61,338,275.000","1,364,157,178.000",,,,,,
11-Oct-2022,72.780,+1.970,+2.782%,71.850,71.110,73.790,"1,242,727","90,539,021.000","1,425,495,453.000",,,,,,
10-Oct-2022,70.810,-1.270,-1.762%,71.110,70.140,72.450,"855,749","60,920,964.000","1,334,956,432.000",,,,,,
07-Oct-2022,72.080,-0.930,-1.274%,71.650,70.240,73.140,"1,002,100","72,512,507.000","1,395,877,396.000",,,,,,
06-Oct-2022,73.010,+0.910,+1.262%,71.000,71.000,73.930,"841,554","61,422,804.000","1,468,389,903.000",,,,,,
05-Oct-2022,72.100,+2.360,+3.384%,70.540,69.760,72.420,"1,283,147","91,997,330.000","1,406,967,099.000",,,,,,
04-Oct-2022,69.740,+3.590,+5.427%,67.840,67.500,70.150,"1,027,457","71,017,464.000","1,314,969,769.000",,,,,,
03-Oct-2022,66.150,+0.400,+0.608%,66.100,64.810,67.690,"754,794","49,782,547.000","1,243,952,305.000",,,,,,
30-Sep-2022,65.750,+0.120,+0.183%,66.440,64.970,66.500,"1,038,334","68,283,390.000","1,194,169,758.000",,,,,,
29-Sep-2022,65.630,+2.170,+3.419%,66.490,65.500,66.750,"876,755","57,832,195.000","1,125,886,368.000",,,,,,
28-Sep-2022,63.460,-2.430,-3.688%,66.400,63.090,66.520,"804,267","51,563,481.000","1,068,054,173.000",,,,,,
27-Sep-2022,65.890,+3.630,+5.830%,63.100,63.100,66.190,"1,078,015","70,220,707.000","1,119,617,654.000",,,,,,
26-Sep-2022,62.260,-5.370,-7.940%,65.220,62.260,65.710,"1,276,526","80,846,955.000","1,049,396,947.000",,,,,,
23-Sep-2022,67.630,-2.330,-3.330%,69.110,66.800,71.050,"951,082","64,854,049.000","1,130,243,902.000",,,,,,
21-Sep-2022,69.960,-1.620,-2.263%,70.280,69.900,71.220,"777,971","54,563,191.000","1,195,097,951.000",,,,,,
20-Sep-2022,71.580,+3.580,+5.265%,69.950,69.875,71.950,"1,190,032","84,516,133.000","1,249,661,142.000",,,,,,
19-Sep-2022,68.000,+1.610,+2.425%,67.100,66.510,69.830,"1,040,578","71,222,126.000","1,165,145,009.000",,,,,,
16-Sep-2022,66.390,-3.620,-5.171%,68.560,66.390,69.200,"1,963,506","130,733,114.000","1,093,922,883.000",,,,,,
15-Sep-2022,70.010,-1.440,-2.015%,71.500,69.810,72.450,"1,201,930","85,099,931.000","1,224,655,997.000",,,,,,
14-Sep-2022,71.450,-2.350,-3.184%,71.070,70.700,73.500,"1,456,923","104,897,451.000","1,309,755,928.000",,,,,,
13-Sep-2022,73.800,+0.720,+0.985%,73.950,72.845,75.650,"1,282,916","95,175,709.000","1,414,653,379.000",,,,,,
12-Sep-2022,73.080,+1.570,+2.195%,72.000,71.850,74.200,"1,624,824","118,985,695.000","1,319,477,670.000",,,,,,
09-Sep-2022,71.510,+8.550,+13.580%,72.590,69.350,72.750,"3,946,164","279,213,786.000","1,200,491,975.000",,,,,,
08-Sep-2022,62.960,+3.460,+5.815%,60.030,60.030,63.540,"1,087,214","68,007,782.000","921,278,189.000",,,,,,
07-Sep-2022,59.500,-0.840,-1.392%,59.660,58.025,60.150,"1,042,487","61,794,189.000","853,270,407.000",,,,,,
06-Sep-2022,60.340,+0.400,+0.667%,60.270,59.870,61.580,"747,900","45,315,560.000","915,064,596.000",,,,,,
05-Sep-2022,59.940,+1.230,+2.095%,58.720,58.650,60.100,"1,024,695","61,165,358.000","869,749,036.000",,,,,,
02-Sep-2022,58.710,-4.080,-6.498%,59.900,58.710,60.850,"1,466,771","86,278,161.000","808,583,678.000",,,,,,
01-Sep-2022,62.790,-1.180,-1.845%,62.830,62.490,64.330,"1,350,192","85,394,234.000","894,861,839.000",,,,,,
31-Aug-2022,63.970,-3.990,-5.871%,66.580,63.830,67.480,"2,028,631","131,943,736.000","980,256,073.000",,,,,,
30-Aug-2022,67.960,+3.970,+6.204%,65.360,65.030,68.500,"1,696,912","113,801,938.000","1,112,199,809.000",,,,,,
29-Aug-2022,63.990,-1.130,-1.735%,60.820,60.580,64.320,"1,377,513","87,050,574.000","998,397,871.000",,,,,,
26-Aug-2022,65.120,+1.150,+1.798%,65.240,63.970,65.580,"989,490","64,304,923.000","1,085,448,445.000",,,,,,
25-Aug-2022,63.970,+0.380,+0.598%,64.500,63.380,65.080,"919,520","59,214,493.000","1,021,143,522.000",,,,,,
24-Aug-2022,63.590,+1.840,+2.980%,62.760,62.520,63.970,"881,524","55,879,110.000","961,929,029.000",,,,,,
23-Aug-2022,61.750,+0.190,+0.309%,61.400,61.000,63.160,"729,870","45,297,947.000","906,049,919.000",,,,,,
22-Aug-2022,61.560,+0.660,+1.084%,59.600,59.280,62.070,"772,433","47,416,965.000","860,751,972.000",,,,,,
19-Aug-2022,60.900,+1.000,+1.669%,60.980,59.940,60.980,"911,430","53,292,495.000","813,335,007.000",,,,,,
18-Aug-2022,59.900,-0.620,-1.024%,59.350,57.590,59.990,"1,083,399","64,122,418.000","760,042,512.000",,,,,,
17-Aug-2022,60.520,-0.050,-0.083%,60.750,59.720,61.660,"910,760","55,242,607.000","824,164,930.000",,,,,,
16-Aug-2022,60.570,-0.240,-0.395%,60.770,60.010,61.990,"961,213","58,181,220.000","879,407,537.000",,,,,,
