Exchange Date,Close,Adjusted Close,Net,%Chg,Open,Low,High,Volume,Turnover - AUD,Flow,Column1,_1,_2,_3,_4
10/14/22,0.975,,-0.005,-0.0051,1.01,0.975,1.02,7385304,7361228,372316710,,,,,
10/13/22,0.98,,-0.03,-0.0297,0.995,0.97,0.995,9308926,9160147,379677938,,,,,
10/12/22,1.01,,0.02,0.0202,1.035,0.99,1.05,17117054,17398344,388838085,,,,,
10/11/22,0.99,,-0.005,-0.00503,1.01,0.99,1.025,7936434,7975080,371439741,,,,,
10/10/22,0.995,,-0.02,-0.0197,0.99,0.973,1.01,12414987,12330114,379414821,,,,,
10/7/22,1.015,,-0.01,-0.00976,1.02,1.01,1.035,12396359,12627105,391744935,,,,,
10/6/22,1.025,,0.02,0.0199,1.08,1.025,1.105,27806623,29735516,404372040,,,,,
10/5/22,1.005,,-0.02,-0.01951,1.075,1.005,1.095,18634961,19387669,374636524,,,,,
10/4/22,1.025,,0.13,0.14525,0.92,0.915,1.03,23898540,23283742,394024193,,,,,
10/3/22,0.895,,0,0,0.895,0.845,0.92,12944572,11413593,370740451,,,,,
9/30/22,0.895,,-0.02,-0.02186,0.9,0.87,0.9,16353302,14479136,382154044,,,,,
9/29/22,0.915,,-0.005,-0.00543,0.955,0.915,0.965,15281021,14345237,396633180,,,,,
9/28/22,0.92,,-0.025,-0.02646,0.96,0.905,0.96,13328207,12343254,410978417,,,,,
9/27/22,0.945,,0.04,0.0442,0.915,0.915,0.958,14518658,13532914,423321671,,,,,
9/26/22,0.905,,-0.085,-0.08586,0.955,0.905,0.96,20155214,18544291,409788757,,,,,
9/23/22,0.99,,-0.07,-0.06604,1.04,0.985,1.055,17087941,17238877,428333048,,,,,
9/21/22,1.06,,0.01,0.00952,1.02,1.01,1.07,16322453,16949439,445571925,,,,,
9/20/22,1.05,,0.005,0.00478,1.1,1.003,1.11,24004104,25338197,428622486,,,,,
9/19/22,1.045,,0.115,0.12366,1.015,1.015,1.135,50001554,53566579,403284289,,,,,
9/16/22,0.93,,0.005,0.00541,0.88,0.87,0.93,48892859,44361229,349717710,,,,,
9/15/22,0.925,,-0.135,-0.12736,1.07,0.918,1.1,54082671,53832180,305356481,,,,,
9/14/22,1.06,,-0.21,-0.16535,1.05,1.015,1.145,50614761,54853311,359188661,,,,,
9/13/22,1.27,,0.01,0.00794,1.265,1.26,1.31,15814288,20266674,414041972,,,,,
9/12/22,1.26,,-0.035,-0.02703,1.33,1.26,1.34,15689713,20263942,393775298,,,,,
9/9/22,1.295,,-0.045,-0.03358,1.37,1.265,1.405,26716551,35680645,414039240,,,,,
9/8/22,1.34,,0.13,0.10744,1.25,1.23,1.35,28294263,36397288,449719885,,,,,
9/7/22,1.21,,0.005,0.00415,1.28,1.21,1.29,26948455,33474299,413322597,,,,,
9/6/22,1.205,,0.105,0.09545,1.11,1.105,1.21,18141997,21319858,379848298,,,,,
9/5/22,1.1,,0.04,0.03774,1.07,1.05,1.11,10867520,11799266,358528440,,,,,
9/2/22,1.06,,-0.075,-0.06608,1.13,1.06,1.148,12244502,13341458,346729174,,,,,
9/1/22,1.135,,-0.035,-0.02991,1.14,1.135,1.18,13234768,15254959,360070632,,,,,
8/31/22,1.17,,0.05,0.04464,1.085,1.08,1.17,17390433,19606538,375325591,,,,,
8/30/22,1.12,,0.055,0.05164,1.075,1.065,1.13,17938112,19692717,355719053,,,,,
8/29/22,1.065,,-0.12,-0.10127,1.12,1.055,1.125,21821463,23811850,336026336,,,,,
8/26/22,1.185,,-0.02,-0.0166,1.225,1.18,1.243,13662685,16436046,359838186,,,,,
8/25/22,1.205,,-0.02,-0.01633,1.255,1.2,1.275,16825890,20817514,376274232,,,,,
8/24/22,1.225,,0.05,0.04255,1.22,1.17,1.24,21991943,26508863,397091746,,,,,
8/23/22,1.175,,-0.035,-0.02893,1.185,1.17,1.28,20632162,25111560,370582883,,,,,
8/22/22,1.21,,0,0,1.175,1.155,1.243,17247821,20714354,395694443,,,,,
8/19/22,1.21,,0.02,0.01681,1.225,1.19,1.285,23018158,28315510,374980089,,,,,
8/18/22,1.19,,-0.075,-0.05929,1.21,1.18,1.24,22328438,26912181,346664579,,,,,
8/17/22,1.265,,-0.075,-0.05597,1.31,1.158,1.315,43034716,53499544,373576760,,,,,
8/16/22,1.34,,-0.12,-0.08219,1.465,1.325,1.47,23258476,32285699,427076304,,,,,
8/15/22,1.46,,0.08,0.05797,1.48,1.42,1.505,26706893,39040096,459362003,,,,,
8/12/22,1.38,,-0.215,-0.1348,1.49,1.36,1.555,55798261,81518325,420321907,,,,,
8/11/22,1.595,,0.275,0.20833,1.42,1.42,1.595,74150907,111786389,501840232,,,,,
