Date,Open,High,Low,Close,Adj Close,Volume
2022-06-24,3.300000,3.340000,3.200000,3.240000,3.130836,3136118
2022-06-27,3.260000,3.360000,3.240000,3.330000,3.217803,3175596
2022-06-28,3.450000,3.580000,3.410000,3.550000,3.430391,3148107
2022-06-29,3.690000,3.740000,3.610000,3.650000,3.527022,2699620
2022-06-30,3.580000,3.580000,3.460000,3.460000,3.343423,2760162
2022-07-01,3.430000,3.450000,3.320000,3.340000,3.227466,4263313
2022-07-04,3.480000,3.660000,3.460000,3.600000,3.478706,3245562
2022-07-05,3.620000,3.680000,3.600000,3.610000,3.488369,1652471
2022-07-06,3.500000,3.550000,3.450000,3.490000,3.372412,4589965
2022-07-07,3.490000,3.530000,3.380000,3.440000,3.324097,2776619
2022-07-08,3.620000,3.660000,3.550000,3.600000,3.478706,2937416
2022-07-11,3.670000,3.820000,3.660000,3.770000,3.642978,3832417
2022-07-12,3.860000,4.010000,3.835000,3.900000,3.768599,5021717
2022-07-13,3.960000,4.050000,3.870000,4.020000,3.884555,6449155
2022-07-14,4.220000,4.340000,4.200000,4.250000,4.106806,7862815
2022-07-15,4.160000,4.230000,4.090000,4.180000,4.039164,4250406
2022-07-18,4.350000,4.430000,4.230000,4.300000,4.155121,4986337
2022-07-19,4.340000,4.525000,4.320000,4.450000,4.300067,6553673
2022-07-20,4.500000,4.500000,4.400000,4.470000,4.319393,3289783
2022-07-21,4.500000,4.580000,4.340000,4.390000,4.242089,4412760
2022-07-22,4.280000,4.350000,4.210000,4.290000,4.145458,2636664
2022-07-25,4.300000,4.410000,4.300000,4.350000,4.203436,2381637
2022-07-26,4.400000,4.510000,4.370000,4.480000,4.329057,2296524
2022-07-27,4.500000,4.550000,4.450000,4.460000,4.309731,2042511
2022-07-28,4.500000,4.500000,4.340000,4.390000,4.242089,2476680
2022-07-29,4.450000,4.490000,4.380000,4.390000,4.242089,2947903
2022-08-01,4.420000,4.430000,4.360000,4.400000,4.251752,1752248
2022-08-02,4.340000,4.360000,4.270000,4.310000,4.164784,2512386
2022-08-03,4.280000,4.350000,4.210000,4.350000,4.203436,2950423
2022-08-04,4.350000,4.390000,4.280000,4.280000,4.135796,2338631
2022-08-05,4.220000,4.240000,4.020000,4.050000,3.913545,6272219
2022-08-08,4.000000,4.040000,3.820000,3.950000,3.816914,6406979
2022-08-09,3.980000,4.090000,3.940000,4.020000,3.884555,3450612
2022-08-10,4.060000,4.210000,4.050000,4.180000,4.039164,2735939
2022-08-11,4.310000,4.350000,4.210000,4.250000,4.106806,5879983
2022-08-12,4.310000,4.430000,4.270000,4.400000,4.251752,4228216
2022-08-15,4.440000,4.480000,4.370000,4.400000,4.251752,1930397
2022-08-16,4.390000,4.400000,4.300000,4.380000,4.232426,2749417
2022-08-17,4.480000,4.570000,4.390000,4.570000,4.416025,4217423
2022-08-18,4.650000,4.770000,4.620000,4.740000,4.580297,3688822
2022-08-19,4.830000,5.070000,4.830000,4.930000,4.763895,5172409
2022-08-22,4.900000,5.020000,4.775000,4.980000,4.812210,4883888
2022-08-23,5.100000,5.170000,5.020000,5.100000,4.928167,2918585
2022-08-24,5.080000,5.150000,4.990000,5.060000,4.889515,3346952
2022-08-25,5.000000,5.060000,4.930000,5.000000,4.831536,3413290
2022-08-26,4.970000,5.130000,4.950000,5.130000,4.957157,4372676
2022-08-29,5.020000,5.080000,4.920000,5.000000,4.831536,3593684
2022-08-30,5.090000,5.180000,5.045000,5.060000,4.889515,2215319
2022-08-31,4.890000,4.950000,4.770000,4.900000,4.734906,4318382
2022-09-01,4.900000,5.070000,4.890000,5.000000,4.831536,2827540
2022-09-02,5.020000,5.110000,4.960000,5.100000,4.928167,2141917
2022-09-05,5.150000,5.450000,5.150000,5.390000,5.208396,6081996
2022-09-06,5.450000,5.790000,5.420000,5.720000,5.527277,5692349
2022-09-07,5.720000,5.760000,5.400000,5.410000,5.227722,6098379
2022-09-08,5.270000,5.560000,5.260000,5.440000,5.256711,4668597
2022-09-09,5.360000,5.580000,5.340000,5.540000,5.353343,2959588
2022-09-12,5.600000,5.630000,5.490000,5.490000,5.305027,1694070
2022-09-13,5.570000,5.610000,5.470000,5.500000,5.314690,2276220
2022-09-14,5.390000,5.500000,5.310000,5.490000,5.305027,2546679
2022-09-15,5.620000,5.850000,5.510000,5.820000,5.623909,4108735
2022-09-16,5.600000,5.710000,5.470000,5.570000,5.382332,5374242
2022-09-19,5.480000,5.510000,5.370000,5.460000,5.276038,3835290
2022-09-20,5.810000,5.980000,5.590000,5.940000,5.739865,7338661
2022-09-21,6.000000,6.200000,5.960000,6.160000,5.952453,6340189
2022-09-23,6.230000,6.460000,6.220000,6.330000,6.116725,5825632
2022-09-26,5.990000,6.110000,5.300000,5.400000,5.218060,10408044
2022-09-27,5.510000,5.930000,5.500000,5.730000,5.536941,6856008
2022-09-28,5.930000,6.230000,5.840000,5.900000,5.701213,7713093
2022-09-29,6.150000,6.360000,6.060000,6.280000,6.068410,5819162
2022-09-30,6.230000,6.310000,6.060000,6.290000,6.078073,3940528
2022-10-03,6.350000,6.450000,6.090000,6.300000,6.087736,3337651
2022-10-04,6.430000,6.750000,6.290000,6.700000,6.474258,5453347
2022-10-05,6.790000,6.810000,6.400000,6.620000,6.396954,5015736
2022-10-06,6.760000,6.870000,6.700000,6.770000,6.541900,4459429
2022-10-07,6.670000,6.900000,6.600000,6.850000,6.619205,4969990
2022-10-10,6.760000,6.870000,6.625000,6.700000,6.474258,4825591
2022-10-11,6.700000,6.750000,6.520000,6.600000,6.377628,5435845
2022-10-12,6.620000,6.900000,6.620000,6.650000,6.425943,5035533
2022-10-13,6.690000,6.890000,6.680000,6.720000,6.493585,6191332
2022-10-14,6.890000,6.950000,6.800000,6.860000,6.628868,9318594
2022-10-17,6.850000,6.920000,6.810000,6.870000,6.638531,2881510
2022-10-18,6.920000,7.000000,6.830000,6.910000,6.677183,3361107
2022-10-19,6.740000,6.990000,6.450000,6.930000,6.696509,6812481
2022-10-20,6.900000,6.950000,6.760000,6.890000,6.657857,14598254
2022-10-21,6.980000,7.465000,6.930000,7.420000,7.170000,9362108
2022-10-24,7.050000,7.180000,6.880000,7.100000,7.100000,8157075
2022-10-25,7.120000,7.250000,6.660000,6.660000,6.660000,6849827
2022-10-26,6.530000,6.660000,6.170000,6.190000,6.190000,7473107
2022-10-27,6.290000,6.450000,6.200000,6.310000,6.310000,5364335
2022-10-28,6.310000,6.350000,5.570000,5.700000,5.700000,12042479
2022-10-31,5.620000,5.850000,5.450000,5.650000,5.650000,8262376
2022-11-01,5.430000,5.770000,5.400000,5.630000,5.630000,10236756
2022-11-02,5.630000,5.820000,5.560000,5.750000,5.750000,6457046
2022-11-03,5.850000,6.140000,5.735000,6.090000,6.090000,6559179
2022-11-04,6.120000,6.500000,6.000000,6.450000,6.450000,6868849
2022-11-07,6.500000,6.600000,6.280000,6.450000,6.450000,5406759
2022-11-08,6.400000,6.480000,5.940000,5.950000,5.950000,5708832
2022-11-09,5.750000,5.790000,5.460000,5.570000,5.570000,8454746
2022-11-10,5.300000,5.430000,5.170000,5.310000,5.310000,10344830
2022-11-11,5.300000,5.300000,5.030000,5.160000,5.160000,12718038
2022-11-14,5.130000,5.485000,5.110000,5.250000,5.250000,7111843
2022-11-15,5.300000,5.370000,5.160000,5.320000,5.320000,4910559
2022-11-16,5.470000,5.680000,5.430000,5.540000,5.540000,6025376
2022-11-17,5.490000,5.520000,5.160000,5.180000,5.180000,5032400
2022-11-18,5.220000,5.330000,5.170000,5.280000,5.280000,4290572
2022-11-21,5.300000,5.410000,5.260000,5.380000,5.380000,3567040
2022-11-22,5.450000,5.800000,5.450000,5.770000,5.770000,6817822
2022-11-23,5.910000,6.100000,5.820000,5.930000,5.930000,5370818
2022-11-24,6.000000,6.060000,5.350000,5.410000,5.410000,9597136
2022-11-25,5.550000,5.650000,5.290000,5.390000,5.390000,9279727
2022-11-28,5.410000,5.750000,5.410000,5.680000,5.680000,5893622
2022-11-29,5.840000,5.930000,5.520000,5.570000,5.570000,7191137
2022-11-30,5.710000,5.990000,5.700000,5.950000,5.950000,9799387
2022-12-01,6.000000,6.120000,5.760000,5.880000,5.880000,5547536
2022-12-02,5.760000,5.810000,5.670000,5.740000,5.740000,4215180
2022-12-05,5.800000,5.855000,5.510000,5.650000,5.650000,5474194
2022-12-06,5.680000,5.800000,5.620000,5.770000,5.770000,3038907
2022-12-07,5.790000,5.870000,5.680000,5.790000,5.790000,3537432
2022-12-08,5.700000,5.740000,5.580000,5.640000,5.640000,3370907
2022-12-09,5.640000,5.845000,5.620000,5.790000,5.790000,3432135
2022-12-12,5.700000,5.830000,5.650000,5.710000,5.710000,3841970
2022-12-13,5.800000,5.820000,5.600000,5.740000,5.740000,3885008
2022-12-14,5.750000,5.960000,5.730000,5.800000,5.800000,4282739
2022-12-15,5.920000,6.140000,5.900000,6.070000,6.070000,7000084
2022-12-16,6.000000,6.310000,5.970000,6.240000,6.240000,7131750
2022-12-19,6.300000,6.510000,6.250000,6.490000,6.490000,3742762
2022-12-20,6.470000,6.630000,6.350000,6.370000,6.370000,5105830
2022-12-21,6.510000,6.640000,6.370000,6.530000,6.530000,11275898
2022-12-22,6.600000,6.695000,6.485000,6.530000,6.530000,4321108
2022-12-23,6.500000,6.620000,6.450000,6.550000,6.550000,3113262
2022-12-28,6.550000,6.550000,6.240000,6.440000,6.440000,3703156
2022-12-29,6.330000,6.360000,6.190000,6.220000,6.220000,4708298
2022-12-30,6.260000,6.470000,6.260000,6.360000,6.360000,2644246
2023-01-03,6.400000,6.430000,5.760000,5.820000,5.820000,6630776
2023-01-04,5.830000,5.940000,5.710000,5.910000,5.910000,5750290
2023-01-05,5.850000,6.000000,5.660000,5.870000,5.870000,4888411
2023-01-06,5.980000,6.165000,5.920000,6.040000,6.040000,3921123
2023-01-09,6.130000,6.300000,6.080000,6.230000,6.230000,2992794
2023-01-10,6.200000,6.330000,6.090000,6.200000,6.200000,3996635
2023-01-11,6.200000,6.340000,6.120000,6.140000,6.140000,3416174
2023-01-12,5.980000,6.020000,5.820000,5.920000,5.920000,6723086
2023-01-13,6.030000,6.290000,6.010000,6.220000,6.220000,4854558
2023-01-16,6.270000,6.530000,6.260000,6.520000,6.520000,4786938
2023-01-17,6.420000,6.490000,6.190000,6.370000,6.370000,5075223
2023-01-18,6.400000,6.600000,6.310000,6.560000,6.560000,3702207
2023-01-19,6.530000,6.600000,6.330000,6.580000,6.580000,4177939
2023-01-20,6.690000,6.885000,6.550000,6.760000,6.760000,6418755
2023-01-23,6.790000,6.880000,6.625000,6.650000,6.650000,4339174
2023-01-24,6.640000,6.695000,6.510000,6.650000,6.650000,3985773
2023-01-24,6.640000,6.695000,6.510000,6.650000,6.650000,3973985
