Exchange Date,Close,Adjusted Close,Net,%Chg,Open,Low,High,Volume,Turnover - AUD,Flow,,,,,
29-Nov-2022,0.950,,+0.015,+1.604%,0.940,0.905,0.955,"10,578,150","9,853,370.000","395,046,664.000",,,,,
28-Nov-2022,0.935,,-0.050,-5.076%,0.985,0.930,0.990,"12,888,544","12,303,634.000","385,193,294.000",,,,,
25-Nov-2022,0.985,,-0.060,-5.742%,1.050,0.985,1.055,"10,261,083","10,330,019.000","397,496,928.000",,,,,
24-Nov-2022,1.045,,0.000,0.000%,1.050,1.040,1.060,"4,231,079","4,438,487.000","407,826,947.000",,,,,
23-Nov-2022,1.045,,+0.010,+0.966%,1.045,1.040,1.055,"5,580,266","5,841,165.000","403,388,460.000",,,,,
22-Nov-2022,1.035,,-0.005,-0.481%,1.050,1.035,1.060,"8,136,440","8,502,825.000","397,547,295.000",,,,,
21-Nov-2022,1.040,,-0.010,-0.952%,1.085,1.040,1.110,"10,270,298","10,987,629.000","406,050,120.000",,,,,
18-Nov-2022,1.050,,-0.005,-0.474%,1.055,1.040,1.063,"5,110,904","5,369,676.000","417,037,749.000",,,,,
17-Nov-2022,1.055,,-0.015,-1.402%,1.070,1.055,1.080,"7,561,122","8,029,500.000","422,407,425.000",,,,,
16-Nov-2022,1.070,,-0.015,-1.382%,1.090,1.060,1.105,"14,540,674","15,713,534.000","430,436,925.000",,,,,
15-Nov-2022,1.085,,-0.090,-7.660%,1.160,1.080,1.160,"21,295,174","23,500,363.000","446,150,459.000",,,,,
14-Nov-2022,1.175,,+0.055,+4.911%,1.130,1.125,1.195,"22,900,329","26,695,179.000","469,650,822.000",,,,,
11-Nov-2022,1.120,,+0.050,+4.673%,1.120,1.105,1.140,"16,110,685","18,073,511.000","442,955,643.000",,,,,
10-Nov-2022,1.070,,-0.040,-3.604%,1.080,1.065,1.090,"10,423,312","11,197,916.000","424,882,132.000",,,,,
09-Nov-2022,1.110,,-0.010,-0.893%,1.135,1.105,1.145,"12,198,528","13,701,236.000","436,080,048.000",,,,,
08-Nov-2022,1.120,,-0.025,-2.183%,1.150,1.110,1.165,"20,695,977","23,605,950.000","449,781,284.000",,,,,
07-Nov-2022,1.145,,+0.070,+6.512%,1.100,1.065,1.175,"26,569,616","29,822,123.000","473,387,234.000",,,,,
04-Nov-2022,1.075,,+0.025,+2.381%,1.060,1.053,1.095,"15,286,143","16,398,968.000","443,565,111.000",,,,,
03-Nov-2022,1.050,,-0.065,-5.830%,1.080,1.045,1.095,"17,721,934","18,888,918.000","427,166,143.000",,,,,
02-Nov-2022,1.115,,+0.055,+5.189%,1.115,1.100,1.205,"36,795,737","42,206,767.000","446,055,061.000",,,,,
01-Nov-2022,1.060,,0.000,0.000%,1.050,1.040,1.095,"12,268,770","13,120,445.000","403,848,294.000",,,,,
31-Oct-2022,1.060,,+0.075,+7.614%,1.010,1.000,1.060,"15,672,619","16,082,574.000","390,727,849.000",,,,,
28-Oct-2022,0.985,,-0.070,-6.635%,1.050,0.985,1.055,"10,117,653","10,241,523.000","374,645,275.000",,,,,
27-Oct-2022,1.055,,+0.010,+0.957%,1.045,1.035,1.065,"8,108,759","8,538,506.000","384,886,798.000",,,,,
26-Oct-2022,1.045,,-0.005,-0.476%,1.075,1.035,1.095,"11,189,497","11,938,785.000","376,348,292.000",,,,,
25-Oct-2022,1.050,,-0.030,-2.778%,1.080,1.050,1.090,"11,927,680","12,719,481.000","388,287,077.000",,,,,
24-Oct-2022,1.080,,+0.030,+2.857%,1.095,1.065,1.105,"14,112,221","15,327,779.000","401,006,558.000",,,,,
21-Oct-2022,1.050,,+0.010,+0.962%,1.045,1.035,1.065,"6,485,654","6,819,627.000","385,678,779.000",,,,,
20-Oct-2022,1.040,,-0.035,-3.256%,1.070,1.040,1.090,"10,723,507","11,357,190.000","378,859,152.000",,,,,
19-Oct-2022,1.075,,-0.015,-1.376%,1.085,1.065,1.110,"14,469,332","15,660,772.000","390,216,342.000",,,,,
18-Oct-2022,1.090,,+0.085,+8.458%,1.025,1.025,1.100,"22,616,995","24,026,383.000","405,877,114.000",,,,,
17-Oct-2022,1.005,,+0.030,+3.077%,0.970,0.960,1.005,"9,640,990","9,534,021.000","381,850,731.000",,,,,
14-Oct-2022,0.975,,-0.005,-0.510%,1.010,0.975,1.020,"7,385,304","7,361,228.000","372,316,710.000",,,,,
13-Oct-2022,0.980,,-0.030,-2.970%,0.995,0.970,0.995,"9,308,926","9,160,147.000","379,677,938.000",,,,,
12-Oct-2022,1.010,,+0.020,+2.020%,1.035,0.990,1.050,"17,117,054","17,398,344.000","388,838,085.000",,,,,
11-Oct-2022,0.990,,-0.005,-0.503%,1.010,0.990,1.025,"7,936,434","7,975,080.000","371,439,741.000",,,,,
10-Oct-2022,0.995,,-0.020,-1.970%,0.990,0.973,1.010,"12,414,987","12,330,114.000","379,414,821.000",,,,,
07-Oct-2022,1.015,,-0.010,-0.976%,1.020,1.010,1.035,"12,396,359","12,627,105.000","391,744,935.000",,,,,
06-Oct-2022,1.025,,+0.020,+1.990%,1.080,1.025,1.105,"27,806,623","29,735,516.000","404,372,040.000",,,,,
05-Oct-2022,1.005,,-0.020,-1.951%,1.075,1.005,1.095,"18,634,961","19,387,669.000","374,636,524.000",,,,,
04-Oct-2022,1.025,,+0.130,+14.525%,0.920,0.915,1.030,"23,898,540","23,283,742.000","394,024,193.000",,,,,
03-Oct-2022,0.895,,0.000,0.000%,0.895,0.845,0.920,"12,944,572","11,413,593.000","370,740,451.000",,,,,
30-Sep-2022,0.895,,-0.020,-2.186%,0.900,0.870,0.900,"16,353,302","14,479,136.000","382,154,044.000",,,,,
29-Sep-2022,0.915,,-0.005,-0.543%,0.955,0.915,0.965,"15,281,021","14,345,237.000","396,633,180.000",,,,,
28-Sep-2022,0.920,,-0.025,-2.646%,0.960,0.905,0.960,"13,328,207","12,343,254.000","410,978,417.000",,,,,
27-Sep-2022,0.945,,+0.040,+4.420%,0.915,0.915,0.958,"14,518,658","13,532,914.000","423,321,671.000",,,,,
26-Sep-2022,0.905,,-0.085,-8.586%,0.955,0.905,0.960,"20,155,214","18,544,291.000","409,788,757.000",,,,,
23-Sep-2022,0.990,,-0.070,-6.604%,1.040,0.985,1.055,"17,087,941","17,238,877.000","428,333,048.000",,,,,
21-Sep-2022,1.060,,+0.010,+0.952%,1.020,1.010,1.070,"16,322,453","16,949,439.000","445,571,925.000",,,,,
20-Sep-2022,1.050,,+0.005,+0.478%,1.100,1.003,1.110,"24,004,104","25,338,197.000","428,622,486.000",,,,,
19-Sep-2022,1.045,,+0.115,+12.366%,1.015,1.015,1.135,"50,001,554","53,566,579.000","403,284,289.000",,,,,
16-Sep-2022,0.930,,+0.005,+0.541%,0.880,0.870,0.930,"48,892,859","44,361,229.000","349,717,710.000",,,,,
15-Sep-2022,0.925,,-0.135,-12.736%,1.070,0.918,1.100,"54,082,671","53,832,180.000","305,356,481.000",,,,,
14-Sep-2022,1.060,,-0.210,-16.535%,1.050,1.015,1.145,"50,614,761","54,853,311.000","359,188,661.000",,,,,
13-Sep-2022,1.270,,+0.010,+0.794%,1.265,1.260,1.310,"15,814,288","20,266,674.000","414,041,972.000",,,,,
12-Sep-2022,1.260,,-0.035,-2.703%,1.330,1.260,1.340,"15,689,713","20,263,942.000","393,775,298.000",,,,,
09-Sep-2022,1.295,,-0.045,-3.358%,1.370,1.265,1.405,"26,716,551","35,680,645.000","414,039,240.000",,,,,
08-Sep-2022,1.340,,+0.130,+10.744%,1.250,1.230,1.350,"28,294,263","36,397,288.000","449,719,885.000",,,,,
07-Sep-2022,1.210,,+0.005,+0.415%,1.280,1.210,1.290,"26,948,455","33,474,299.000","413,322,597.000",,,,,
06-Sep-2022,1.205,,+0.105,+9.545%,1.110,1.105,1.210,"18,141,997","21,319,858.000","379,848,298.000",,,,,
05-Sep-2022,1.100,,+0.040,+3.774%,1.070,1.050,1.110,"10,867,520","11,799,266.000","358,528,440.000",,,,,
02-Sep-2022,1.060,,-0.075,-6.608%,1.130,1.060,1.148,"12,244,502","13,341,458.000","346,729,174.000",,,,,
01-Sep-2022,1.135,,-0.035,-2.991%,1.140,1.135,1.180,"13,234,768","15,254,959.000","360,070,632.000",,,,,
31-Aug-2022,1.170,,+0.050,+4.464%,1.085,1.080,1.170,"17,390,433","19,606,538.000","375,325,591.000",,,,,
30-Aug-2022,1.120,,+0.055,+5.164%,1.075,1.065,1.130,"17,938,112","19,692,717.000","355,719,053.000",,,,,
29-Aug-2022,1.065,,-0.120,-10.127%,1.120,1.055,1.125,"21,821,463","23,811,850.000","336,026,336.000",,,,,
26-Aug-2022,1.185,,-0.020,-1.660%,1.225,1.180,1.243,"13,662,685","16,436,046.000","359,838,186.000",,,,,
25-Aug-2022,1.205,,-0.020,-1.633%,1.255,1.200,1.275,"16,825,890","20,817,514.000","376,274,232.000",,,,,
24-Aug-2022,1.225,,+0.050,+4.255%,1.220,1.170,1.240,"21,991,943","26,508,863.000","397,091,746.000",,,,,
23-Aug-2022,1.175,,-0.035,-2.893%,1.185,1.170,1.280,"20,632,162","25,111,560.000","370,582,883.000",,,,,
22-Aug-2022,1.210,,0.000,0.000%,1.175,1.155,1.243,"17,247,821","20,714,354.000","395,694,443.000",,,,,
19-Aug-2022,1.210,,+0.020,+1.681%,1.225,1.190,1.285,"23,018,158","28,315,510.000","374,980,089.000",,,,,
18-Aug-2022,1.190,,-0.075,-5.929%,1.210,1.180,1.240,"22,328,438","26,912,181.000","346,664,579.000",,,,,
17-Aug-2022,1.265,,-0.075,-5.597%,1.310,1.158,1.315,"43,034,716","53,499,544.000","373,576,760.000",,,,,
16-Aug-2022,1.340,,-0.120,-8.219%,1.465,1.325,1.470,"23,258,476","32,285,699.000","427,076,304.000",,,,,
15-Aug-2022,1.460,,+0.080,+5.797%,1.480,1.420,1.505,"26,706,893","39,040,096.000","459,362,003.000",,,,,
12-Aug-2022,1.380,,-0.215,-13.480%,1.490,1.360,1.555,"55,798,261","81,518,325.000","420,321,907.000",,,,,
11-Aug-2022,1.595,,+0.275,+20.833%,1.420,1.420,1.595,"74,150,907","111,786,389.000","501,840,232.000",,,,,
10-Aug-2022,1.320,,+0.080,+6.452%,1.265,1.200,1.350,"45,227,871","58,310,973.000","390,053,843.000",,,,,
09-Aug-2022,1.240,,+0.165,+15.349%,1.125,1.110,1.383,"90,951,026","113,294,397.000","331,742,870.000",,,,,
08-Aug-2022,1.075,,+0.145,+15.591%,0.940,0.920,1.080,"35,509,266","35,569,374.000","218,448,473.000",,,,,
05-Aug-2022,0.930,,+0.035,+3.911%,0.910,0.895,0.940,"18,054,910","16,596,237.000","182,879,099.000",,,,,
04-Aug-2022,0.895,,+0.005,+0.562%,0.910,0.875,0.940,"29,100,666","26,400,464.000","166,282,862.000",,,,,
03-Aug-2022,0.890,,+0.085,+10.559%,0.800,0.780,0.900,"26,073,582","22,115,142.000","139,882,398.000",,,,,
02-Aug-2022,0.805,,-0.025,-3.012%,0.830,0.790,0.838,"16,624,399","13,454,683.000","117,767,256.000",,,,,
01-Aug-2022,0.830,,+0.020,+2.469%,0.835,0.828,0.935,"36,484,035","31,926,569.000","131,221,939.000",,,,,
29-Jul-2022,0.810,,+0.035,+4.516%,0.810,0.780,0.835,"20,160,304","16,191,650.000","99,295,370.000",,,,,
28-Jul-2022,0.775,,+0.035,+4.730%,0.765,0.750,0.800,"26,739,750","20,670,916.000","83,103,720.000",,,,,
27-Jul-2022,0.740,,+0.010,+1.370%,0.725,0.710,0.755,"14,574,175","10,744,472.000","62,432,804.000",,,,,
26-Jul-2022,0.730,,+0.040,+5.797%,0.695,0.690,0.730,"21,434,787","15,328,985.000","51,688,332.000",,,,,
25-Jul-2022,0.690,,-0.010,-1.429%,0.710,0.680,0.715,"16,290,962","11,360,541.000","36,359,347.000",,,,,
22-Jul-2022,0.700,,-0.045,-6.040%,0.770,0.700,0.770,"24,545,269","17,745,726.000","47,719,888.000",,,,,
21-Jul-2022,0.745,,+0.045,+6.429%,0.705,0.700,0.770,"37,834,858","28,156,925.000","65,465,614.000",,,,,
20-Jul-2022,0.700,,-0.010,-1.408%,0.755,0.693,0.775,"41,657,295","29,840,030.000","37,308,689.000",,,,,
19-Jul-2022,0.710,,+0.085,+13.600%,0.615,0.615,0.715,"35,144,631","23,962,001.000","67,148,719.000",,,,,
18-Jul-2022,0.625,,+0.020,+3.306%,0.620,0.600,0.635,"20,707,423","12,801,166.000","43,186,718.000",,,,,
15-Jul-2022,0.605,,0.000,0.000%,0.590,0.585,0.623,"25,725,029","15,496,211.000","30,385,552.000",,,,,
14-Jul-2022,0.605,,-0.070,-10.370%,0.590,0.545,0.655,"80,245,786","47,865,958.000","45,881,763.000",,,,,
11-Jul-2022,0.675,,-0.045,-6.250%,0.725,0.675,0.725,"22,421,156","15,580,632.000","93,747,721.000",,,,,
08-Jul-2022,0.720,,+0.020,+2.857%,0.730,0.718,0.760,"25,238,574","18,664,922.000","109,328,353.000",,,,,
07-Jul-2022,0.700,,-0.015,-2.098%,0.720,0.670,0.725,"21,449,697","14,852,788.000","90,663,431.000",,,,,
06-Jul-2022,0.715,,-0.045,-5.921%,0.760,0.710,0.760,"16,202,401","11,861,365.000","105,516,219.000",,,,,
05-Jul-2022,0.760,,+0.025,+3.401%,0.725,0.725,0.775,"14,067,723","10,577,454.000","117,377,584.000",,,,,
04-Jul-2022,0.735,,-0.025,-3.289%,0.780,0.725,0.810,"19,132,779","14,514,001.000","106,800,130.000",,,,,
01-Jul-2022,0.760,,-0.025,-3.185%,0.790,0.755,0.805,"19,911,503","15,386,175.000","121,314,131.000",,,,,
30-Jun-2022,0.785,,-0.010,-1.258%,0.770,0.765,0.840,"21,000,778","16,706,678.000","136,700,306.000",,,,,
29-Jun-2022,0.795,,-0.035,-4.217%,0.840,0.780,0.860,"25,098,316","20,459,869.000","153,406,984.000",,,,,
28-Jun-2022,0.830,,-0.035,-4.046%,0.865,0.820,0.875,"20,006,331","16,795,116.000","173,866,853.000",,,,,
27-Jun-2022,0.865,,+0.060,+7.453%,0.890,0.835,0.895,"42,055,933","36,379,953.000","190,661,969.000",,,,,
24-Jun-2022,0.805,,+0.105,+15.000%,0.750,0.720,0.865,"92,099,243","73,773,218.000","154,282,016.000",,,,,
23-Jun-2022,0.700,,-0.140,-16.667%,0.800,0.675,0.855,"101,912,743","75,230,519.000","80,508,798.000",,,,,
22-Jun-2022,0.840,,-0.130,-13.402%,0.940,0.785,0.980,"107,088,575","92,492,449.000","155,739,317.000",,,,,
21-Jun-2022,0.970,,-0.385,-28.413%,1.360,0.950,1.375,"63,221,077","70,896,925.000","248,231,766.000",,,,,
20-Jun-2022,1.355,,-0.215,-13.694%,1.590,1.320,1.605,"21,268,980","30,073,758.000","319,128,691.000",,,,,
17-Jun-2022,1.570,,-0.095,-5.706%,1.590,1.530,1.630,"94,443,526","148,420,304.000","349,202,449.000",,,,,
16-Jun-2022,1.665,,+0.145,+9.539%,1.555,1.555,1.695,"27,025,617","44,337,526.000","497,622,753.000",,,,,
15-Jun-2022,1.520,,-0.070,-4.403%,1.550,1.485,1.600,"24,081,933","37,121,544.000","453,285,227.000",,,,,
14-Jun-2022,1.590,,+0.190,+13.571%,1.305,1.300,1.620,"46,367,840","68,362,123.000","490,406,771.000",,,,,
10-Jun-2022,1.400,,+0.075,+5.660%,1.300,1.290,1.400,"18,034,942","24,298,908.000","422,044,648.000",,,,,
09-Jun-2022,1.325,,-0.125,-8.621%,1.440,1.325,1.440,"14,429,994","19,649,908.000","397,745,740.000",,,,,
08-Jun-2022,1.450,,-0.015,-1.024%,1.490,1.445,1.525,"9,433,471","13,849,765.000","417,395,648.000",,,,,
07-Jun-2022,1.465,,+0.055,+3.901%,1.435,1.420,1.515,"14,240,421","21,071,037.000","431,245,413.000",,,,,
06-Jun-2022,1.410,,-0.025,-1.742%,1.435,1.375,1.435,"8,819,230","12,418,178.000","410,174,376.000",,,,,
03-Jun-2022,1.435,,+0.110,+8.302%,1.405,1.400,1.470,"15,237,410","21,971,381.000","422,592,554.000",,,,,
02-Jun-2022,1.325,,-0.025,-1.852%,1.310,1.285,1.365,"22,612,709","29,983,672.000","400,621,173.000",,,,,
01-Jun-2022,1.350,,-0.200,-12.903%,1.520,1.325,1.530,"24,599,672","34,520,900.000","430,604,845.000",,,,,
31-May-2022,1.550,,+0.060,+4.027%,1.495,1.470,1.560,"63,300,270","97,675,357.000","465,125,745.000",,,,,
30-May-2022,1.490,,+0.065,+4.561%,1.485,1.470,1.560,"16,414,104","24,791,794.000","367,450,388.000",,,,,
27-May-2022,1.425,,-0.035,-2.397%,1.515,1.420,1.515,"12,036,537","17,652,958.000","342,658,594.000",,,,,
26-May-2022,1.460,,+0.040,+2.817%,1.450,1.405,1.510,"14,508,786","21,293,681.000","360,311,552.000",,,,,
25-May-2022,1.420,,-0.020,-1.389%,1.445,1.400,1.475,"8,690,193","12,368,112.000","339,017,871.000",,,,,
24-May-2022,1.440,,-0.065,-4.319%,1.550,1.440,1.560,"12,854,080","19,193,560.000","351,385,983.000",,,,,
23-May-2022,1.505,,-0.005,-0.331%,1.550,1.490,1.595,"12,254,597","18,813,879.000","370,579,543.000",,,,,
20-May-2022,1.510,,+0.105,+7.473%,1.450,1.400,1.515,"22,780,404","33,030,828.000","389,393,422.000",,,,,
19-May-2022,1.405,,-0.095,-6.333%,1.430,1.370,1.450,"13,303,451","18,841,600.000","356,362,594.000",,,,,
18-May-2022,1.500,,+0.040,+2.740%,1.510,1.480,1.555,"14,980,324","22,493,784.000","375,204,194.000",,,,,
17-May-2022,1.460,,+0.015,+1.038%,1.465,1.420,1.483,"10,630,748","15,509,829.000","352,710,410.000",,,,,
16-May-2022,1.445,,+0.045,+3.214%,1.460,1.430,1.525,"12,569,254","18,426,668.000","337,200,581.000",,,,,
13-May-2022,1.400,,+0.010,+0.719%,1.430,1.380,1.460,"11,173,308","15,784,755.000","318,773,913.000",,,,,
12-May-2022,1.390,,-0.065,-4.467%,1.395,1.365,1.490,"12,645,535","17,934,087.000","302,989,158.000",,,,,
11-May-2022,1.455,,+0.040,+2.827%,1.410,1.333,1.470,"11,669,513","16,524,415.000","320,923,245.000",,,,,
10-May-2022,1.415,,-0.045,-3.082%,1.310,1.245,1.435,"32,000,945","43,266,599.000","304,398,830.000",,,,,
09-May-2022,1.460,,-0.190,-11.515%,1.585,1.450,1.585,"21,382,114","32,084,775.000","347,665,429.000",,,,,
06-May-2022,1.650,,-0.115,-6.516%,1.600,1.540,1.650,"23,644,012","38,075,624.000","379,750,204.000",,,,,
05-May-2022,1.765,,+0.095,+5.689%,1.720,1.720,1.810,"11,728,459","20,736,254.000","417,825,828.000",,,,,
04-May-2022,1.670,,-0.075,-4.298%,1.755,1.640,1.800,"14,944,882","25,316,604.000","397,089,574.000",,,,,
03-May-2022,1.745,,-0.125,-6.684%,1.880,1.730,1.905,"13,170,138","23,593,566.000","422,406,178.000",,,,,
02-May-2022,1.870,,-0.100,-5.076%,1.910,1.845,1.910,"11,476,915","21,484,131.000","445,999,744.000",,,,,
29-Apr-2022,1.970,,+0.030,+1.546%,1.985,1.960,2.040,"9,670,893","19,261,020.000","467,483,875.000",,,,,
28-Apr-2022,1.940,,-0.020,-1.020%,2.020,1.940,2.060,"8,092,609","16,034,365.000","448,222,855.000",,,,,
27-Apr-2022,1.960,,-0.060,-2.970%,1.920,1.880,1.985,"14,663,140","28,268,381.000","464,257,220.000",,,,,
26-Apr-2022,2.020,,-0.100,-4.717%,2.040,1.970,2.080,"12,971,244","26,199,603.000","492,525,601.000",,,,,
22-Apr-2022,2.120,,-0.040,-1.852%,2.100,2.060,2.200,"8,903,580","19,030,529.000","518,725,204.000",,,,,
21-Apr-2022,2.160,,-0.040,-1.818%,2.270,2.130,2.350,"12,000,869","26,864,790.000","537,755,733.000",,,,,
20-Apr-2022,2.200,,-0.090,-3.930%,2.330,2.150,2.360,"10,933,541","24,510,956.000","564,620,523.000",,,,,
19-Apr-2022,2.290,,+0.280,+13.930%,2.040,2.020,2.360,"20,012,995","44,864,054.000","589,131,479.000",,,,,
14-Apr-2022,2.010,,-0.010,-0.495%,2.080,1.950,2.120,"16,412,661","33,435,971.000","544,267,425.000",,,,,
13-Apr-2022,2.020,,+0.180,+9.783%,1.860,1.845,2.070,"19,029,093","37,599,431.000","577,703,396.000",,,,,
12-Apr-2022,1.840,,-0.150,-7.538%,2.000,1.810,2.000,"20,239,662","37,775,439.000","540,103,965.000",,,,,
11-Apr-2022,1.990,,+0.130,+6.989%,2.080,1.970,2.160,"30,597,564","63,117,838.000","577,879,404.000",,,,,
08-Apr-2022,1.860,,-0.135,-6.767%,2.070,1.845,2.120,"18,501,229","36,266,785.000","514,761,566.000",,,,,
07-Apr-2022,1.995,,-0.115,-5.450%,2.050,1.970,2.170,"19,651,759","40,208,681.000","551,028,351.000",,,,,
06-Apr-2022,2.110,,-0.140,-6.222%,2.100,2.050,2.200,"16,969,382","36,106,701.000","591,237,032.000",,,,,
05-Apr-2022,2.250,,-0.200,-8.163%,2.540,2.230,2.650,"20,939,833","50,059,270.000","627,343,733.000",,,,,
04-Apr-2022,2.450,,+0.140,+6.061%,2.380,2.260,2.500,"22,232,333","53,072,808.000","677,403,003.000",,,,,
01-Apr-2022,2.310,,+0.315,+15.789%,2.030,2.030,2.340,"19,623,621","43,826,763.000","624,330,195.000",,,,,
31-Mar-2022,1.995,,+0.050,+2.571%,1.970,1.955,2.100,"14,582,272","29,472,104.000","580,503,432.000",,,,,
30-Mar-2022,1.945,,+0.015,+0.777%,1.960,1.870,1.985,"15,065,655","29,086,107.000","551,031,328.000",,,,,
29-Mar-2022,1.930,,+0.250,+14.881%,1.745,1.740,1.980,"33,533,638","63,041,512.000","521,945,221.000",,,,,
28-Mar-2022,1.680,,-0.095,-5.352%,1.750,1.680,1.810,"11,893,948","20,685,405.000","458,903,709.000",,,,,
25-Mar-2022,1.775,,-0.010,-0.560%,1.820,1.770,1.850,"18,617,796","33,616,425.000","479,589,114.000",,,,,
24-Mar-2022,1.785,,-0.010,-0.557%,1.760,1.700,1.870,"19,424,597","34,975,910.000","513,205,539.000",,,,,
23-Mar-2022,1.795,,+0.145,+8.788%,1.675,1.590,1.795,"20,950,831","35,758,181.000","548,181,449.000",,,,,
22-Mar-2022,1.650,,+0.065,+4.101%,1.600,1.545,1.685,"16,534,728","26,710,621.000","512,423,268.000",,,,,
21-Mar-2022,1.585,,+0.035,+2.258%,1.620,1.560,1.660,"18,296,435","29,253,931.000","485,712,647.000",,,,,
