Date,Open,High,Low,Close,Adj Close,Volume
2022-01-25,60.209999,61.320000,56.500000,57.119999,56.210300,3181647
2022-01-27,56.400002,57.000000,52.040001,53.939999,53.080944,2741985
2022-01-28,55.049999,55.799999,52.770000,53.849998,52.992378,4526608
2022-01-31,53.990002,55.599998,52.880001,55.410000,54.527534,1111686
2022-02-01,55.509998,57.770000,55.200001,57.400002,56.485844,1478591
2022-02-02,58.990002,59.980000,58.099998,58.650002,57.715935,1176744
2022-02-03,59.020000,59.450001,57.759998,58.650002,57.715935,1200032
2022-02-04,58.230000,58.770000,57.220001,58.099998,57.174690,1055391
2022-02-07,56.009998,59.599998,55.959999,58.990002,58.050518,1370456
2022-02-08,58.990002,59.959999,57.419998,57.880001,56.958199,1569918
2022-02-09,51.000000,56.630001,50.360001,52.720001,51.880375,4901110
2022-02-10,54.290001,55.369999,53.119999,54.619999,53.750114,2730110
2022-02-11,54.470001,55.160000,52.919998,53.200001,52.352730,1447615
2022-02-14,52.889999,52.939999,50.509998,51.169998,50.355057,1814370
2022-02-15,50.110001,50.810001,48.404999,48.439999,47.668537,2382604
2022-02-16,48.599998,49.785000,47.720001,49.330002,48.544365,1602915
2022-02-17,49.950001,49.959999,47.950001,48.060001,47.294590,1757382
2022-02-18,46.779999,48.500000,46.700001,47.759998,46.999367,1634916
2022-02-21,46.299999,47.860001,45.939999,47.360001,46.605740,1481760
2022-02-22,47.119999,47.290001,45.380001,45.580002,44.854088,2079701
2022-02-23,45.000000,47.490002,44.900002,46.730000,45.985771,1529066
2022-02-24,46.259998,46.980000,43.560001,43.720001,43.023712,2569927
2022-02-25,44.419998,45.410000,44.049999,44.830002,44.116035,1977361
2022-02-28,45.860001,46.799999,44.040001,45.250000,44.529343,19049503
2022-03-01,45.639999,46.230000,44.759998,45.320000,44.598228,2093046
2022-03-02,45.380001,46.990002,45.340000,45.900002,45.168991,1892457
2022-03-03,47.180000,48.419998,47.070000,47.470001,46.713989,1625208
2022-03-04,48.779999,48.950001,47.099998,47.910000,47.146980,2323099
2022-03-07,48.660000,49.599998,46.950001,48.029999,47.265068,1672320
2022-03-08,48.599998,48.650002,45.709999,45.910000,45.178833,1188139
2022-03-09,47.669998,48.080002,46.250000,47.090000,46.340038,1175060
2022-03-10,46.000000,46.919998,44.630001,45.189999,44.470299,1580075
2022-03-11,46.209999,46.740002,45.509998,46.430000,45.690552,1192577
2022-03-14,47.000000,47.200001,46.060001,46.820000,46.074337,962199
2022-03-15,44.849998,45.279999,43.669998,44.529999,43.820808,1602828
2022-03-16,44.570000,44.970001,43.990002,44.259998,43.555107,1352751
2022-03-17,45.360001,45.970001,45.150002,45.750000,45.021381,842621
2022-03-18,46.610001,46.730000,45.799999,46.310001,45.572464,1751661
2022-03-21,46.939999,47.770000,46.730000,46.820000,46.074337,592779
2022-03-22,47.880001,49.380001,47.419998,49.090000,48.308186,1259066
2022-03-23,49.070000,49.099998,48.070000,48.330002,47.560291,803447
2022-03-24,49.349998,49.700001,48.244999,48.500000,47.727585,1058469
2022-03-25,48.950001,49.680000,48.689999,48.689999,47.914555,834669
2022-03-28,49.560001,50.680000,49.209999,49.209999,48.426273,873155
2022-03-29,49.790001,50.240002,48.849998,49.990002,49.193855,713390
2022-03-30,49.549999,50.650002,49.259998,50.509998,49.705570,1089307
2022-03-31,51.240002,52.709999,51.139999,52.709999,51.870533,1353362
2022-04-01,52.910000,54.590000,52.750000,54.590000,53.720592,1384311
2022-04-04,55.590000,56.740002,55.119999,56.459999,55.560810,1290398
2022-04-05,57.900002,60.080002,56.799999,59.669998,58.719685,2341576
2022-04-06,58.939999,61.279999,58.119999,60.349998,59.388859,2675574
2022-04-07,59.750000,61.090000,59.099998,60.009998,59.054272,1485286
2022-04-08,61.590000,62.139999,60.720001,61.299999,60.323727,877599
2022-04-11,61.680000,62.000000,58.990002,59.290001,58.345741,1050816
2022-04-12,59.830002,60.660000,59.070000,59.160000,58.217812,1073175
2022-04-13,59.840000,61.970001,59.779999,61.799999,60.815765,771518
2022-04-14,62.509998,62.790001,61.439999,62.029999,61.042103,706899
2022-04-19,63.200001,63.500000,61.200001,61.660000,60.677994,1033409
2022-04-20,61.849998,62.480000,60.360001,61.400002,60.422138,874049
2022-04-21,62.029999,63.020000,61.750000,62.049999,61.061783,1122216
2022-04-22,61.180000,62.099998,58.880001,60.700001,59.733284,1557950
2022-04-26,55.060001,56.330002,53.630001,54.669998,53.799316,2354788
2022-04-27,54.580002,55.720001,54.450001,55.490002,54.606262,1087557
